SPT_FRSTT_DIST,SPT_SAFE_CNTER_DIST,SPT_LFDAU_DIST,MBLZ_FFPWR_CNT,LYCRG_FIREMAN_CNT,OCCU_YEAR,OCCU_MT,damagearea,DURATION_MIN,SLOPE,CLMT_RAIN,CLMT_MAXTEM,CLMT_MAXWSWD,CLMT_MAXWS,CLMT_MINTEM,CLMT_MINSP,CLMT_AVGTEM,CLMT_AVGHUMID,CLMT_AVGDEWTEM,CLMT_AVGGT,SIGUNGU_NM_고성군,SIGUNGU_NM_동해시,SIGUNGU_NM_삼척시,SIGUNGU_NM_속초시,SIGUNGU_NM_양구군,SIGUNGU_NM_양양군,SIGUNGU_NM_영월군,SIGUNGU_NM_원주시,SIGUNGU_NM_인제군,SIGUNGU_NM_정선군,SIGUNGU_NM_철원군,SIGUNGU_NM_춘천시,SIGUNGU_NM_태백시,SIGUNGU_NM_평창군,SIGUNGU_NM_홍천군,SIGUNGU_NM_화천군,SIGUNGU_NM_횡성군,WETHR_구름조금,WETHR_맑음,WETHR_비,WETHR_흐림,OCCU_DAY_목요일,OCCU_DAY_수요일,OCCU_DAY_월요일,OCCU_DAY_일요일,OCCU_DAY_토요일,OCCU_DAY_화요일,IGN_BHF_산아래,IGN_BHF_산정상,IGN_BHF_산중턱,IGN_BHF_평지,SPCNWS_CN_강풍주의보,SPCNWS_CN_건조경보,SPCNWS_CN_건조주의보,SPCNWS_CN_대설주의보,SPCNWS_CN_풍랑경보,SPCNWS_CN_풍랑주의보,SPCNWS_CN_한파경보,SPCNWS_CN_한파주의보,OBJT_ID
16,16,6,22,50,2015,3,3.0,1729,21.31360054,0.7,11.3,360,12.1,-3.4,1021.2,4.1,23.9,-16.3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1440
46,13,0,12,25,2015,3,0.1,126,22.63610077,8.4,15.3,340,6.1,-4.0,1031.5,5.5,32.3,-12.1,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1458
35,16,0,18,25,2015,3,0.2,125,21.4720993,1.6,11.5,180,6.1,-6.2,1029.2,2.3,48.8,-9.9,4.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1463
25,25,6,10,27,2015,3,0.06,59,15.06999969,12.9,26.7,290,6.3,19.6,1003.6,22.4,84.3,19.4,24.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1464
20,7,0,13,30,2015,3,0.2,55,15.84519958,0.2,10.4,50,12.3,2.9,1018.5,6.2,49.0,-4.6,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1465
31,19,0,17,20,2015,3,0.05,119,24.6916008,10.2,15.3,230,6.9,-3.9,1031.6,5.4,44.8,-7.6,6.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1468
10,10,0,11,109,2015,3,0.3,240,20.00180054,7.2,15.7,140,7.0,4.0,1027.0,10.9,36.4,-3.8,13.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1469
35,11,0,14,43,2015,3,1.5,170,26.11319923,17.0,17.3,250,8.9,-5.6,1028.4,5.9,44.1,-7.9,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1470
20,0,6,18,35,2015,3,2.5,470,30.9734993,0.7,19.1,340,10.9,-0.7,1012.2,10.3,30.1,-9.7,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1494
6,4,0,10,0,2015,3,0.05,34,16.25390053,1.0,19.2,50,11.0,6.0,1007.2,10.4,67.8,4.4,11.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1499
30,17,0,16,23,2015,3,0.03,60,20.21260071,4.0,22.9,270,5.0,6.1,1013.8,14.6,40.1,-0.6,13.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1503
21,6,0,6,25,2015,3,0.1,142,17.93199921,8.0,22.3,250,7.1,3.4,1014.5,12.5,55.8,1.8,13.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1508
11,3,0,12,13,2015,4,0.01,63,20.99160004,0.2,5.4,180,4.9,-9.4,1024.7,-2.4,53.1,-12.0,1.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1512
15,9,0,8,25,2015,4,0.06,90,27.36030006,3.8,20.8,180,9.0,7.0,1021.6,13.8,40.6,-1.0,12.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1516
12,3,16,13,89,2015,4,0.2,90,20.0788002,2.8,21.5,360,12.0,2.8,1021.5,10.8,50.3,0.1,12.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1520
46,11,8,7,36,2015,4,0.3,54,30.02070045,0.0,1.2,270,13.3,-4.0,1016.5,-1.9,46.9,-11.8,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1522
33,11,0,23,62,2015,4,0.5,140,29.70800018,1.1,24.8,270,10.7,10.4,1012.7,18.9,25.1,-2.2,17.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1529
35,35,0,10,15,2015,4,1.0,450,27.50519943,0.1,21.5,160,11.0,2.7,1015.9,13.8,39.5,-2.9,11.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1531
27,27,12,15,45,2015,4,0.3,150,2.862400055,2.4,23.3,340,15.4,10.1,1013.7,15.9,28.0,-4.0,15.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1532
46,17,20,6,10,2015,4,0.2,130,27.22629929,4.5,17.2,204,8.6,3.5,1015.6,10.1,53.1,1.58,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1545
36,6,0,44,85,2015,4,0.2,233,35.79579926,5.7,31.6,250,12.7,16.0,1011.5,23.8,23.4,0.8,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1548
26,10,16,20,43,2015,4,2.0,362,15.28849983,8.8,27.8,340,5.0,7.0,1009.9,18.3,37.0,0.3,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1558
51,6,12,10,65,2015,4,0.5,275,15.36950016,4.4,21.6,140,5.1,12.8,1011.8,16.8,46.4,4.7,17.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1560
19,19,12,5,0,2015,5,0.03,190,32.98939896,2.0,27.5,290,7.5,11.6,1008.1,19.5,69.3,12.6,22.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1563
26,11,0,10,4,2015,5,0.02,130,17.29439926,0.0,26.5,230,5.1,11.9,1008.4,18.8,68.3,12.4,27.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1564
15,13,0,11,15,2015,5,0.2,130,8.735699654,0.1,18.2,250,15.2,0.0,1004.6,10.7,38.8,-4.3,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1566
36,6,0,7,2,2015,5,0.1,70,2.134299994,4.5,23.1,360,12.5,3.4,1006.0,13.3,41.3,-1.9,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1567
5,5,0,10,0,2015,5,0.01,78,18.64819908,6.7,22.3,340,8.2,6.7,1008.4,14.5,46.3,1.9,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1568
12,10,0,13,20,2015,5,0.01,70,7.416500092,1.5,24.2,230,8.5,8.5,1009.5,16.4,44.9,1.9,18.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1573
0,0,0,11,15,2015,5,0.1,43,20.09799957,5.2,13.9,320,14.8,3.5,1020.2,8.3,22.9,-13.6,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1574
40,13,15,12,20,2015,5,0.1,94,48.20550156,8.5,23.0,90,7.8,8.8,1000.1,15.7,71.8,9.0,16.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1579
34,4,0,15,60,2015,5,0.3,183,9.870900154,0.2,29.0,290,9.2,16.4,1005.9,22.8,18.3,-3.3,29.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1582
53,41,14,15,44,2015,5,0.2,170,30.0515995,0.3,25.4,180,8.6,7.0,1007.2,16.4,46.5,3.1,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1583
28,20,7,30,65,2015,5,1.2,305,32.35639954,3.7,27.3,270,11.2,14.3,1008.7,22.1,31.1,3.3,29.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1589
3,3,0,24,71,2015,5,1.0,320,32.31150055,3.7,27.8,320,9.5,7.6,1009.9,17.9,51.3,5.3,22.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1590
34,32,0,15,20,2015,5,0.7,338,9.508700371,0.7,22.2,110,15.7,1.5,1007.3,13.9,53.9,3.4,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1592
7,7,0,9,27,2015,5,0.5,110,22.40690041,5.0,28.9,250,8.1,8.7,1006.8,19.2,44.5,4.2,26.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1598
17,0,6,7,43,2015,5,0.3,85,21.04570007,7.1,32.5,320,8.4,12.1,1004.8,21.4,40.1,5.4,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1623
62,39,18,15,38,2015,5,0.25,405,31.91130066,6.2,29.6,180,7.0,11.3,1001.5,21.5,43.4,6.6,29.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1629
42,37,8,16,27,2015,5,0.5,338,32.40119934,0.5,29.0,230,5.7,12.2,1004.7,20.0,53.9,7.9,27.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1631
68,31,6,6,15,2015,5,0.03,270,20.0788002,4.5,17.2,208,8.6,3.5,1015.6,10.1,53.1,2.36,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1632
14,6,0,10,27,2015,5,0.15,243,16.69919968,0.4,28.8,290,5.9,15.0,1005.9,21.9,61.8,13.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1635
24,10,0,15,24,2015,6,0.09,150,39.167099,7.9,31.4,230,7.5,15.3,1003.8,23.3,52.3,11.4,29.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1644
42,20,25,10,14,2015,6,0.5,270,8.735699654,13.0,27.5,230,8.6,14.0,1002.9,20.4,36.9,3.2,30.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1651
